,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
190,191,13.34922374999016,-0.24345815593647,-3.20363490492137,3,-3,(3;-3),Nuclear,-4.449192062,-4.442739989,-3.847927299,-12.73985935
191,192,15.30099110573872,-0.28949235133584,-11.81324465674452,3,-1,(3;-1),Ligação,-0.4992290343,-0.4627639509,0.3530494836,-0.6089435016
192,193,24.81189544713491,5.99302203044245,-9.19844019933016,3,-1,(3;-1),Ligação,-0.6299523552,-0.5120383509,0.3646561698,-0.7773345363
193,194,12.35423309306405,3.908101434644,-6.12129900216107,3,-1,(3;-1),Ligação,-0.6390265184,-0.6338652531,0.3459142774,-0.9269774941
194,195,17.03929960534433,5.80952791807343,-9.23136077528521,3,-1,(3;-1),Ligação,-0.6937475135,-0.6905341488,0.3492302635,-1.035051399
195,196,15.92000039666196,2.08471784978436,-8.723147160735,3,-1,(3;-1),Ligação,-0.7205859936,-0.7149954253,0.3584314411,-1.077149978
196,197,14.63215419636012,-3.86260019003318,-4.35204437927614,3,-3,(3;-3),Nuclear,-86506.39234,-86503.64663,-86503.24742,-259513.2864
197,198,16.48973587455666,-3.0197888056104,-5.4801973466614,3,-3,(3;-3),Nuclear,-387862.1422,-387854.8468,-387833.052,-1163550.041
198,199,12.63488491039215,18.97662716545811,8.60215392328569,3,-1,(3;-1),Ligação,-1.335434927,-1.254888452,0.9894798699,-1.600843509
199,200,29.17763760937098,8.59487157418454,-6.11261061587108,3,-1,(3;-1),Ligação,-0.7100549089,-0.6993945151,0.3633158156,-1.046133608
200,201,14.37514775161129,-1.63650464049133,-11.51977086091946,3,-3,(3;-3),Nuclear,-192110.0605,-192108.4466,-192095.7034,-576314.2105
201,202,15.51525500917505,1.1710878837996,-13.1085671200945,3,-1,(3;-1),Ligação,-0.7261972721,-0.7018213193,0.3733890589,-1.054629532
202,203,18.46923779769864,4.66384063385713,-10.26228517410162,3,-1,(3;-1),Ligação,-0.7075216751,-0.7026345369,0.353066007,-1.057090205
203,204,14.09716809749829,-2.62248135475382,-12.5058810119471,3,-1,(3;-1),Ligação,-1.284047574,-1.198088824,0.9367912324,-1.545345165
204,205,14.20192435309412,3.06878968203448,-9.76956224389047,3,-1,(3;-1),Ligação,-0.4226697785,-0.3713954462,0.3167212122,-0.4773440125
205,206,13.75023475034207,-1.75177467144565,-9.83367277867367,3,-3,(3;-3),Nuclear,-4.166316921,-4.132412996,-3.040232879,-11.3389628
206,207,14.0263199871446,-2.88024990758185,-12.7683513175517,3,-3,(3;-3),Nuclear,-4.310655167,-4.274856131,-3.220303194,-11.80581449
207,208,15.27269012999919,1.45693440760249,-13.71135133588839,3,-3,(3;-3),Nuclear,-4.582323307,-4.574166429,-3.985072959,-13.14156269
208,209,15.92849782211482,0.63872222944901,-12.01676804478572,3,-3,(3;-3),Nuclear,-86149.13705,-86148.02447,-86147.83518,-258444.9967
209,210,19.21750743780709,0.41511963481485,-12.79351083083949,3,-1,(3;-1),Ligação,-0.9837235728,-0.9593194962,2.151096313,0.2080532435
210,211,26.23551310764976,7.56819443845585,-8.44731424542713,3,1,(3;+1),Anel,-0.017978775,0.09314760051,0.1047660125,0.179934838
211,212,21.9104677551022,9.26198181130333,-16.97567249072213,3,-1,(3;-1),Ligação,-1.322790874,-1.246979744,0.9822804811,-1.587490137
212,213,22.81751599597501,7.0054934693428,-13.07214444547032,3,-1,(3;-1),Ligação,-0.01177677883,-0.01095681599,0.05764267317,0.03490907835
213,214,12.65455660288928,3.92183384469046,-10.21651167903579,3,1,(3;+1),Anel,-0.04399991528,0.2811978966,2.395170306,2.632368287
214,215,26.41165617594406,9.44670397708918,-12.63019382899298,3,1,(3;+1),Anel,-0.007994731615,0.01034102578,0.0511641436,0.05351043776
215,216,23.75742732370773,10.16592815536915,-15.18194884651088,3,-1,(3;-1),Ligação,-0.5037340354,-0.4714082411,0.3512469001,-0.6238953763
216,217,15.5675624184051,2.64372675307294,-9.83791604766033,3,-3,(3;-3),Nuclear,-86056.74562,-86056.41466,-86055.93226,-258169.0925
