,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
179,180,9.55448763630312,-2.3990119060941,-3.59348191519826,3,-1,(3;-1),Ligação,-1.449533482,-1.357138616,0.8268486072,-1.979823491
180,181,17.30573805462875,0.30749128443125,-12.17599179493862,3,-1,(3;-1),Ligação,-0.5171703391,-0.4745344984,0.3788403072,-0.6128645303
181,182,17.04271112858073,5.80100214400832,-9.24239040158239,3,-1,(3;-1),Ligação,-0.8036921743,-0.7976652692,0.455236937,-1.146120506
182,183,20.50431584519077,15.96361286542044,5.17204431553148,3,-1,(3;-1),Ligação,-0.8893810292,-0.8768690935,0.5098441042,-1.256406019
183,184,9.77509069321294,-3.49086355617318,-0.95709426515097,3,-3,(3;-3),Nuclear,-23.08406768,-23.05554735,-20.71733282,-66.85694785
184,185,12.35050837737335,3.91426632300031,-6.12832363479205,3,-1,(3;-1),Ligação,-0.7409570026,-0.7330132296,0.4462688491,-1.027701383
185,186,20.93169263246844,5.48346871141306,-10.6373912959844,3,-1,(3;-1),Ligação,-0.007644466004,-0.007083854841,0.039247006,0.02451868516
186,187,13.10713926811918,-2.12594251627492,-2.60404274456658,3,-3,(3;-3),Nuclear,-745285.3681,-745283.2193,-745282.0164,-2235850.604
187,188,12.67300148291637,5.8254167044589,-7.01377067361046,3,-1,(3;-1),Ligação,-0.72950559,-0.7222322565,0.4465133308,-1.005224516
188,189,13.79098128196356,-2.38523984830336,-0.70875570880994,3,-3,(3;-3),Nuclear,-24.26916506,-24.26356022,-22.83442126,-71.36714655
189,190,13.35347512765749,-0.20216502815565,-3.2165630685736,3,-3,(3;-3),Nuclear,-24.62775849,-24.61854925,-23.22038024,-72.46668799
190,191,15.91721504053361,2.08894356812929,-8.73320081827355,3,-1,(3;-1),Ligação,-0.8352823135,-0.8299597876,0.4727267561,-1.192515345
191,192,24.26774340391264,11.14688577823632,-13.38818572100698,3,-1,(3;-1),Ligação,-0.4632269908,-0.4234059669,0.3475746992,-0.5390582586
192,193,14.63215011182271,-3.86259985318279,-4.35203978239111,3,-3,(3;-3),Nuclear,-747385.8012,-747379.6806,-747379.2281,-2242144.71
193,194,10.759158049859,4.94761357131308,-7.11627434257059,3,-1,(3;-1),Ligação,-0.7384398855,-0.7242450485,0.444809252,-1.017875682
194,195,16.48974794348642,-3.01978344752899,-5.48020441585289,3,-3,(3;-3),Nuclear,-3221347.173,-3221328.505,-3221294.96,-9663970.638
195,196,14.37514706974699,-1.63650278303662,-11.51977065662626,3,-3,(3;-3),Nuclear,-1635052.252,-1635048.725,-1635026.972,-4905127.948
196,197,22.73299927911399,7.82772467151899,-15.12170182656785,3,-1,(3;-1),Ligação,-1.458314075,-1.36997322,0.8336093599,-1.994677936
197,198,15.74866064638704,1.66537540771264,-10.89422757109985,3,-1,(3;-1),Ligação,-0.4424756005,-0.4248592963,0.3463383899,-0.5209965068
198,199,19.14067150804424,2.92006145631891,-11.62225694961944,3,-1,(3;-1),Ligação,-0.008589891312,-0.004161018536,0.05824129694,0.04549038709
199,200,16.4117702772283,3.83080882212127,-10.04065040878418,3,-1,(3;-1),Ligação,-0.4735948766,-0.4685595574,0.3496721034,-0.5924823306
200,201,15.28651533552175,-0.31230171695786,-11.80988592168256,3,-1,(3;-1),Ligação,-0.5354169906,-0.5005531091,0.388039499,-0.6479306007
201,202,13.8890481958366,-1.72902031419212,-10.21151174137737,3,-1,(3;-1),Ligação,-1.488514594,-1.403882552,0.8216554023,-2.070741743
202,203,14.10772091852518,-2.58935994531737,-12.47705083594174,3,-1,(3;-1),Ligação,-1.464599842,-1.368183583,0.8313502351,-2.00143319
203,204,19.22867361842302,0.42485592306622,-12.80321432474507,3,-1,(3;-1),Ligação,-1.110963418,-1.044923692,1.679733476,-0.4761536342
204,205,13.7269111685313,-1.75488652564695,-9.77016113628723,3,-3,(3;-3),Nuclear,-23.25685891,-23.23029168,-20.91793414,-67.40508473
205,206,12.33030575276912,3.74748928345078,-10.38563566429177,3,-1,(3;-1),Ligação,-0.4134058498,-0.3360727022,1.040289612,0.2908110603
206,207,15.92850116239511,0.63872627360006,-12.01676804711452,3,-3,(3;-3),Nuclear,-745415.974,-745413.8493,-745413.0504,-2236242.874
