,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
145,146,4.08131680820778,-0.82984587283961,4.5776214164223,3,-3,(3;-3),Nuclear,-9.503890599,-9.497765723,-8.754919341,-27.75657566
146,147,4.57691515012254,-2.25444480891358,5.91673418100828,3,-3,(3;-3),Nuclear,-322323.277,-322321.6251,-322320.7445,-966965.6465
147,148,3.13411506068812,4.4993514624462,7.96813005042982,3,-1,(3;-1),Ligação,-0.7579550097,-0.7572312116,0.5226805168,-0.9925057045
148,149,4.8098452307756,-1.12355022854992,8.93183438230724,3,1,(3;+1),Anel,-0.1678402472,0.157826376,2.115332535,2.105318664
149,150,24.26624380794146,11.14495796232401,-13.38841932266254,3,-1,(3;-1),Ligação,-0.4554478118,-0.4153748866,0.3377831629,-0.5330395355
150,151,2.68225241592404,2.94604608640684,6.60718962851195,3,-1,(3;-1),Ligação,-0.7489058956,-0.7470339749,0.513154435,-0.9827854355
151,152,2.14741161484401,2.75479964101863,8.63887187580306,3,-1,(3;-1),Ligação,-0.7515613336,-0.7502762948,0.5115884844,-0.9902491439
152,153,5.39326839720384,-0.94864233529128,8.42818016054135,3,-3,(3;-3),Nuclear,-322966.8401,-322959.7929,-322952.4633,-968879.0962
153,154,7.83640024700875,4.12649106935422,6.71270483683301,3,-1,(3;-1),Ligação,-0.7632058275,-0.7555581467,0.5197356142,-0.99902836
154,155,4.01637236884167,-1.46412674655115,9.88006672769191,3,-3,(3;-3),Nuclear,-71.60253531,-71.45220779,-65.44730918,-208.5020523
155,156,6.17139584172781,2.58820944394833,10.22358599204449,3,-3,(3;-3),Nuclear,-9.478132814,-9.471229122,-8.741824704,-27.69118664
156,157,5.59547855310124,1.97476256105381,8.39038344834105,3,-3,(3;-3),Nuclear,-322216.253,-322215.3811,-322214.6819,-966646.316
157,158,9.31030173282504,1.82483108633947,6.80671665078026,3,-3,(3;-3),Nuclear,-9.245830597,-9.244078232,-8.51498236,-27.00489119
158,159,7.60992634767241,2.86860414378913,6.52144543098336,3,-3,(3;-3),Nuclear,-322283.3071,-322282.4186,-322282.1666,-966847.8923
159,160,6.95679032086265,2.58343126077442,4.63802592369207,3,-3,(3;-3),Nuclear,-9.35666737,-9.355308125,-8.639951365,-27.35192686
160,161,7.97313692417879,4.82490370695743,6.81249581283171,3,-3,(3;-3),Nuclear,-9.361735657,-9.359463583,-8.644661486,-27.36586073
161,162,13.55279051605259,-2.29873023158617,-1.37380780875328,3,-1,(3;-1),Ligação,-0.8021528564,-0.7835847079,0.5476240175,-1.038113547
162,163,20.92664302789164,5.48830856670476,-10.64300640449465,3,-1,(3;-1),Ligação,-0.007197921751,-0.006763528925,0.03691001788,0.0229485672
163,164,3.03301032976161,3.21442403054579,7.82157636386629,3,-3,(3;-3),Nuclear,-322355.542,-322355.4032,-322355.2383,-967066.1836
164,165,2.48098973405487,2.80019580764965,5.92637240427507,3,-3,(3;-3),Nuclear,-9.371158777,-9.370159734,-8.669915164,-27.41123367
165,166,3.18601633276394,5.20994229383794,8.05069247926732,3,-3,(3;-3),Nuclear,-9.337061808,-9.336485514,-8.624538796,-27.29808612
166,167,27.67848995157375,9.12835504417632,-7.69031896356039,3,-1,(3;-1),Ligação,-0.7162001051,-0.5917199261,0.3370541632,-0.970865868
167,168,1.6420683748019,2.50332846830027,9.09387344182707,3,-3,(3;-3),Nuclear,-9.385534981,-9.384765192,-8.679315631,-27.4496158
168,169,6.78789760406898,-3.81535569480823,4.80368260782315,3,-3,(3;-3),Nuclear,-323409.7323,-323404.433,-323404.1866,-970218.3519
169,170,12.62974949702076,19.11445258830841,8.22828489550966,3,-3,(3;-3),Nuclear,-8.935468752,-8.905561232,-7.708302826,-25.54933281
170,171,8.31668101666973,-2.80057664101437,3.36560553288006,3,-3,(3;-3),Nuclear,-1503168.675,-1503154.994,-1503125.846,-4509449.515
171,172,9.55173392648648,-2.39885791807021,-3.59530745523089,3,-1,(3;-1),Ligação,-1.345704732,-1.25955471,0.8657003304,-1.739559112
172,173,10.39349471766143,-2.69097012758634,-2.53223354629883,3,-3,(3;-3),Nuclear,-735652.2398,-735649.3813,-735631.3749,-2206932.996
173,174,13.78576073578769,-2.38336931387177,-0.7236523006558,3,-3,(3;-3),Nuclear,-9.21292973,-9.20644298,-8.458805733,-26.87817844
174,175,10.00649261483647,5.09032778928663,-7.09477680226181,3,-3,(3;-3),Nuclear,-9.054821096,-9.048211872,-8.416233984,-26.51926695
175,176,15.25638728642014,-3.57982376480725,-4.73319208446256,3,-1,(3;-1),Ligação,-1.05382939,-0.9989811459,1.748375462,-0.3044350735
176,177,9.78175839742768,-3.48187018711283,-0.97518255428036,3,-3,(3;-3),Nuclear,-8.836315119,-8.807698042,-7.627400056,-25.27141322
177,178,13.10713826135735,-2.12594314005424,-2.6040429266787,3,-3,(3;-3),Nuclear,-322304.5114,-322302.7786,-322301.8507,-966909.1407
178,179,26.24955729024166,7.55994099656601,-8.45399851793555,3,1,(3;+1),Anel,-0.01619974739,0.0768518337,0.08756191299,0.1482139993
179,180,14.20937676021861,-5.15523529538281,-4.47530068899874,3,-1,(3;-1),Ligação,-0.8201616675,-0.809676573,0.5770489076,-1.052789333
180,181,19.13167733540094,2.93434209783533,-11.63700942327086,3,-1,(3;-1),Ligação,-0.008274315208,-0.004009339865,0.05781519089,0.04553153582
181,182,13.35193151653481,-0.21683538920035,-3.21203074992258,3,-3,(3;-3),Nuclear,-9.359033919,-9.349208919,-8.613025138,-27.32126798
182,183,10.72874433657328,4.95410347440161,-7.11608662890016,3,-1,(3;-1),Ligação,-0.6999940282,-0.6867525202,0.4998437137,-0.8869028347
183,184,14.63215096482598,-3.86259921304955,-4.35204038826247,3,-3,(3;-3),Nuclear,-323353.2211,-323348.0083,-323347.7221,-970048.9515
184,185,16.48974581356988,-3.01978441945149,-5.48020315283229,3,-3,(3;-3),Nuclear,-1503195.555,-1503181.426,-1503151.968,-4509528.949
185,186,17.30498272149672,0.30844634092735,-12.17626282503676,3,-1,(3;-1),Ligação,-0.5100996856,-0.4686701021,0.368294186,-0.6104756017
186,187,12.3577100194978,3.89635129428555,-6.10425908759087,3,-1,(3;-1),Ligação,-0.7029661641,-0.695833655,0.5069974548,-0.8918023644
187,188,13.88813048972464,-1.72917084763576,-10.20837903844243,3,-1,(3;-1),Ligação,-1.379557626,-1.301060357,0.8522154529,-1.828402531
188,189,23.29123597875849,6.51321596010354,-10.79331012435946,3,-1,(3;-1),Ligação,-0.792982666,-0.776964881,0.5358238958,-1.034123651
189,190,14.37514760832178,-1.63650247102299,-11.51977081704559,3,-3,(3;-3),Nuclear,-735739.3457,-735736.6616,-735718.024,-2207194.031
190,191,15.50405936392176,1.18053243082896,-13.13316779016537,3,-1,(3;-1),Ligação,-0.8056391777,-0.77929349,0.5459333009,-1.038999367
191,192,15.74899976589835,1.66538176135778,-10.89454481474804,3,-1,(3;-1),Ligação,-0.4352589784,-0.4155739503,0.3364015581,-0.5144313705
192,193,16.41155148522433,3.8309432283226,-10.04158065691135,3,-1,(3;-1),Ligação,-0.4629799093,-0.4569015296,0.3407745329,-0.5791069059
193,194,15.28895233004431,-0.3092234873932,-11.80960801586555,3,-1,(3;-1),Ligação,-0.5211831664,-0.4881862885,0.4148292658,-0.5945401891
194,195,22.85972495128453,7.08927760475724,-13.08281566125885,3,-1,(3;-1),Ligação,-0.009664044017,-0.009103170972,0.05359725648,0.03483004149
195,196,19.46147819529033,-1.714269529914,-11.41961714144019,3,-3,(3;-3),Nuclear,-9.050592609,-9.039895981,-8.292358975,-26.38284756
196,197,18.48256349695843,4.65984651353856,-10.26232252846832,3,-1,(3;-1),Ligação,-0.7771768869,-0.7741881544,0.5383294458,-1.013035595
197,198,19.23020280411945,-1.16113829278665,-11.72949555234304,3,-1,(3;-1),Ligação,-0.8245049891,-0.8122761038,0.5811887907,-1.055592302
198,199,14.10661329528581,-2.59205168194367,-12.4785699003107,3,-1,(3;-1),Ligação,-1.360105754,-1.270349489,0.8683146987,-1.762140544
199,200,13.73416121360413,-1.75398223043791,-9.78984182608239,3,-3,(3;-3),Nuclear,-8.900478809,-8.872554557,-7.70248066,-25.47551403
200,201,27.61093443515052,11.22590383160751,-8.5265885432086,3,-1,(3;-1),Ligação,-0.7884619532,-0.7719094486,0.5291593281,-1.031212074
201,202,15.92850091700624,0.63872533202472,-12.01676756154967,3,-3,(3;-3),Nuclear,-322387.1592,-322385.3909,-322384.7792,-967157.3294
202,203,19.22715207967349,0.42389143727038,-12.80204110922595,3,-1,(3;-1),Ligação,-1.045137525,-0.9907398316,1.731266452,-0.3046109052
203,204,17.0374665969722,5.82066955665243,-9.21782447049856,3,-1,(3;-1),Ligação,-0.7633691473,-0.7571299242,0.5239740289,-0.9965250426
