,CP,(X),(Y),(Z),Rank,Signature,Pair,Type of CP,Lambda 1,Lambda 2,Lambda 3,Laplacian of electron density
69,70,15.00548382546377,13.74088302810325,8.52734451123826,3,-1,(3;-1),Ligação,-0.8334832635,-0.7993575045,0.5095951209,-1.123245647
70,71,19.640235444964,10.10400330915101,17.86970076555009,3,-1,(3;-1),Ligação,-0.7746172852,-0.7688363881,0.483183244,-1.060270429
71,72,13.75530356552231,-0.73373621914097,8.04074984800812,3,-3,(3;-3),Nuclear,-9.283376688,-9.282195013,-8.496266422,-27.06183812
72,73,15.08561764043798,-2.44373333690916,-8.09989081386561,3,-1,(3;-1),Ligação,-0.003573127694,-0.002478029807,0.02368697394,0.01763581644
73,74,17.99334534886304,11.18080980862605,15.8741855262321,3,1,(3;+1),Anel,-0.003271697243,0.0007395897241,0.02338124057,0.02084913305
74,75,13.83289903373977,-2.96788026478552,-3.450328327034,3,-1,(3;-1),Ligação,-0.5383918114,-0.4965446363,0.3706284086,-0.664308039
75,76,16.84859669493894,9.4970473908304,15.50334243333302,3,1,(3;+1),Anel,-0.0008644358274,0.002689516987,0.01358755324,0.0154126344
76,77,2.68721686387556,2.95043847624972,6.62643219308275,3,-1,(3;-1),Ligação,-0.7625863749,-0.7606257316,0.4753594603,-1.047852646
77,78,24.70443424853601,8.09144984698156,-10.06794872768441,3,-1,(3;-1),Ligação,-0.6929150504,-0.5822934769,0.3367619179,-0.9384466094
78,79,21.4297709117905,19.50080096548488,2.38827738401407,3,1,(3;+1),Anel,-0.00667190082,0.008321455341,0.05188255612,0.05353211064
79,80,13.28441131425394,14.17285991482252,12.43552419348997,3,-1,(3;-1),Ligação,-0.5121871649,-0.4334610667,0.3278763707,-0.6177718609
80,81,15.77165412853118,-5.26666641276945,8.20897055331241,3,-3,(3;-3),Nuclear,-322386.7719,-322386.02,-322385.749,-967158.5408
